"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic"
"NPP","AnnualMeanTemp","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.588e-09,95,0.5271,0.8085,0.6775
"BNPP_root","AnnualMeanTemp","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.352e-09,108,0.4408,0.7828,0.5574
"BNPP_root_fine","AnnualMeanTemp","AnnualPre","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0005135,93,0.216,0.3651,2.017
"GPP","AnnualMeanTemp","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.266e-13,303,0.5726,0.898,1.684
"NPP","AnnualMeanTemp","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,1.588e-09,95,0.5271,0.8085,1.018
"BNPP_root","AnnualMeanTemp","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.352e-09,108,0.4408,0.7828,0.5574
"BNPP_root_fine","AnnualMeanTemp","AnnualPET","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,0.0005135,93,0.216,0.3651,2.017
"GPP","AnnualMeanTemp","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.s.int",TRUE,1.266e-13,303,0.5726,0.898,1.684
"NPP","AnnualMeanTemp","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.018e-09,95,0.5757,0.8128,1.175
"BNPP_root","AnnualMeanTemp","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.linear",TRUE,5.352e-09,108,0.4408,0.7828,0.5574
